sample_id	mountain	vegetation_type	order	family	OTU
AjBPCo22-4	Ajusco	forest	Coleoptera	Curculionidae	8
BlBPCo105-4	Cerro Blanco	forest	Coleoptera	Curculionidae	8
BlBPCo105-7	Cerro Blanco	forest	Coleoptera	Curculionidae	8
BlBPCo105-9	Cerro Blanco	forest	Coleoptera	Curculionidae	8
BlBPCo105-12	Cerro Blanco	forest	Coleoptera	Curculionidae	8
MaBPCo126-2	Malinche	forest	Coleoptera	Curculionidae	8
MaBPCo126-4	Malinche	forest	Coleoptera	Curculionidae	8
MaBPCo126-7	Malinche	forest	Coleoptera	Curculionidae	8
MaBPCo126-8	Malinche	forest	Coleoptera	Curculionidae	8
ToBPCo3-5	Nevado de Toluca	forest	Coleoptera	Curculionidae	8
ToBPCo3-9	Nevado de Toluca	forest	Coleoptera	Curculionidae	8
ToBPCo3-10	Nevado de Toluca	forest	Coleoptera	Curculionidae	8
ToBPCo3-11	Nevado de Toluca	forest	Coleoptera	Curculionidae	8
ToBPCo3-12	Nevado de Toluca	forest	Coleoptera	Curculionidae	8
MaZPCo133-1	Malinche	grassland	Coleoptera	Curculionidae	2
MaZPCo133-3	Malinche	grassland	Coleoptera	Curculionidae	2
MaZPCo133-4	Malinche	grassland	Coleoptera	Curculionidae	2
MaZPCo133-5	Malinche	grassland	Coleoptera	Curculionidae	2
BlBPCo104-1	Cerro Blanco	forest	Coleoptera	Carabidae	10
BlBPCo104-3	Cerro Blanco	forest	Coleoptera	Carabidae	10
BlBPCo104-5	Cerro Blanco	forest	Coleoptera	Carabidae	10
BlBPCo104-11	Cerro Blanco	forest	Coleoptera	Carabidae	10
BlBPCo104-12	Cerro Blanco	forest	Coleoptera	Carabidae	10
ToBPCo1-1	Nevado de Toluca	forest	Coleoptera	Carabidae	10
ToBPCo1-2	Nevado de Toluca	forest	Coleoptera	Carabidae	10
ToBPCo1-3	Nevado de Toluca	forest	Coleoptera	Carabidae	10
ToBPCo1-4	Nevado de Toluca	forest	Coleoptera	Carabidae	10
ToBPCo1-5	Nevado de Toluca	forest	Coleoptera	Carabidae	10
ToBPCo1-6	Nevado de Toluca	forest	Coleoptera	Carabidae	10
ToBPCo1-7	Nevado de Toluca	forest	Coleoptera	Carabidae	10
ToBPCo2-1	Nevado de Toluca	forest	Coleoptera	Carabidae	10
ToBPCo2-2	Nevado de Toluca	forest	Coleoptera	Carabidae	10
ToBPCo2-3	Nevado de Toluca	forest	Coleoptera	Carabidae	10
ToBPCo2-4	Nevado de Toluca	forest	Coleoptera	Carabidae	10
ToBPCo2-5	Nevado de Toluca	forest	Coleoptera	Carabidae	10
ToBPCo2-6	Nevado de Toluca	forest	Coleoptera	Carabidae	10
ToBPCo2-7	Nevado de Toluca	forest	Coleoptera	Carabidae	10
IzZPCo56-3	Iztaccíhuatl	grassland	Coleoptera	Carabidae	11
IzZPCo56-4	Iztaccíhuatl	grassland	Coleoptera	Carabidae	11
IzZPCo56-5	Iztaccíhuatl	grassland	Coleoptera	Carabidae	11
IzZPCo56-9	Iztaccíhuatl	grassland	Coleoptera	Carabidae	11
IzZPCo56-10	Iztaccíhuatl	grassland	Coleoptera	Carabidae	11
IzZPCo56-11	Iztaccíhuatl	grassland	Coleoptera	Carabidae	11
IzZPCo56-12	Iztaccíhuatl	grassland	Coleoptera	Carabidae	11
MaBPCo127-1	Malinche	forest	Coleoptera	Carabidae	11
MaBPCo127-2	Malinche	forest	Coleoptera	Carabidae	11
MaBPCo127-4	Malinche	forest	Coleoptera	Carabidae	11
MaZPCo132-2	Malinche	grassland	Coleoptera	Carabidae	11
MaZPCo132-3	Malinche	grassland	Coleoptera	Carabidae	11
MaZPCo132-4	Malinche	grassland	Coleoptera	Carabidae	11
MaZPCo132-6	Malinche	grassland	Coleoptera	Carabidae	11
MaZPCo132-7	Malinche	grassland	Coleoptera	Carabidae	11
PeZPCo148-1	Cofre de Perote	grassland	Coleoptera	Carabidae	11
PeZPCo148-2	Cofre de Perote	grassland	Coleoptera	Carabidae	11
PeZPCo148-3	Cofre de Perote	grassland	Coleoptera	Carabidae	11
PeZPCo148-4	Cofre de Perote	grassland	Coleoptera	Carabidae	11
PeZPCo148-5	Cofre de Perote	grassland	Coleoptera	Carabidae	11
PeZPCo148-9	Cofre de Perote	grassland	Coleoptera	Carabidae	11
PeZPCo148-10	Cofre de Perote	grassland	Coleoptera	Carabidae	11
PeZPCo148-12	Cofre de Perote	grassland	Coleoptera	Carabidae	11
IzBPCo47-1	Iztaccíhuatl	forest	Coleoptera	Curculionidae	3
IzBPCo47-2	Iztaccíhuatl	forest	Coleoptera	Curculionidae	3
IzBPCo47-3	Iztaccíhuatl	forest	Coleoptera	Curculionidae	3
IzBPCo47-5	Iztaccíhuatl	forest	Coleoptera	Curculionidae	3
IzBPCo47-6	Iztaccíhuatl	forest	Coleoptera	Curculionidae	3
IzBPCo47-7	Iztaccíhuatl	forest	Coleoptera	Curculionidae	3
IzBPCo47-8	Iztaccíhuatl	forest	Coleoptera	Curculionidae	3
IzBPCo47-10	Iztaccíhuatl	forest	Coleoptera	Curculionidae	3
IzBPCo47-11	Iztaccíhuatl	forest	Coleoptera	Curculionidae	3
IzBPCo47-12	Iztaccíhuatl	forest	Coleoptera	Curculionidae	3
MaBPCo129-1	Malinche	forest	Coleoptera	Curculionidae	3
MaBPCo129-2	Malinche	forest	Coleoptera	Curculionidae	3
MaBPCo129-3	Malinche	forest	Coleoptera	Curculionidae	3
PeBPCo155-3	Cofre de Perote	forest	Coleoptera	Curculionidae	3
IzBPCo47-4	Iztaccíhuatl	forest	Coleoptera	Curculionidae	4
IzBPCo47-9	Iztaccíhuatl	forest	Coleoptera	Curculionidae	4
PeZPCo149-5	Cofre de Perote	grassland	Coleoptera	Curculionidae	5
PeZPCo149-8	Cofre de Perote	grassland	Coleoptera	Curculionidae	5
AjBPCo39-1	Ajusco	forest	Coleoptera	Curculionidae	6
AjBPCo39-2	Ajusco	forest	Coleoptera	Curculionidae	6
MaBPCo130-1	Malinche	forest	Coleoptera	Curculionidae	7
ToZPCo18-1	Nevado de Toluca	grassland	Coleoptera	Curculionidae	1
ToZPCo18-2	Nevado de Toluca	grassland	Coleoptera	Curculionidae	1
ToZPCo18-5	Nevado de Toluca	grassland	Coleoptera	Curculionidae	1
ToZPCo18-6	Nevado de Toluca	grassland	Coleoptera	Curculionidae	1
ToZPCo18-7	Nevado de Toluca	grassland	Coleoptera	Curculionidae	1
AjZPAr24-1	Ajusco	grassland	Araneae	Linyphiidae	12
AjZPAr24-2	Ajusco	grassland	Araneae	Linyphiidae	12
AjBPAr6-3	Ajusco	forest	Araneae	Linyphiidae	13
AjBPAr11-2	Ajusco	forest	Araneae	Linyphiidae	13
AjBPAr6-2	Ajusco	forest	Araneae	Linyphiidae	13
AjBPAr4-5	Ajusco	forest	Araneae	Linyphiidae	13
AjBPAr6-6	Ajusco	forest	Araneae	Linyphiidae	13
AjBPAr6-4	Ajusco	forest	Araneae	Linyphiidae	13
AjBPAr9-2	Ajusco	forest	Araneae	Linyphiidae	13
AjBPAr6-1	Ajusco	forest	Araneae	Linyphiidae	13
AjBPAr4-3	Ajusco	forest	Araneae	Linyphiidae	13
AjBPAr9-3	Ajusco	forest	Araneae	Linyphiidae	13
AjBPAr6-5	Ajusco	forest	Araneae	Linyphiidae	13
IzBPAr131-1	Iztaccíhuatl	forest	Araneae	Linyphiidae	14
IzBPAr132-4	Iztaccíhuatl	forest	Araneae	Linyphiidae	14
IzBPAr131-5	Iztaccíhuatl	forest	Araneae	Linyphiidae	14
IzBPAr131-11	Iztaccíhuatl	forest	Araneae	Linyphiidae	14
IzBPAr132-12	Iztaccíhuatl	forest	Araneae	Linyphiidae	14
IzBPAr131-10	Iztaccíhuatl	forest	Araneae	Linyphiidae	14
IzBPAr131-7	Iztaccíhuatl	forest	Araneae	Linyphiidae	14
AjBPAr1-11	Ajusco	forest	Araneae	Linyphiidae	14
AjBPAr1-8	Ajusco	forest	Araneae	Linyphiidae	14
AjBPAr1-3	Ajusco	forest	Araneae	Linyphiidae	14
AjBPAr1-6	Ajusco	forest	Araneae	Linyphiidae	14
AjBPAr1-9	Ajusco	forest	Araneae	Linyphiidae	14
AjBPAr1-10	Ajusco	forest	Araneae	Linyphiidae	14
AjBPAr9-1	Ajusco	forest	Araneae	Linyphiidae	15
PeZPAr56-1	Cofre de Perote	grassland	Araneae	Linyphiidae	15
PeZPAr56-2	Cofre de Perote	grassland	Araneae	Linyphiidae	15
PeBPAr107-3	Cofre de Perote	forest	Araneae	Linyphiidae	15
PeBPAr102-4	Cofre de Perote	forest	Araneae	Linyphiidae	15
AjBPAr1-7	Ajusco	forest	Araneae	Linyphiidae	15
PeBPAr102-5	Cofre de Perote	forest	Araneae	Linyphiidae	15
PeBPAr107-1	Cofre de Perote	forest	Araneae	Linyphiidae	15
AjBPAr11-1	Ajusco	forest	Araneae	Linyphiidae	15
AjBPAr5-1	Ajusco	forest	Araneae	Linyphiidae	15
AjBPAr5-2	Ajusco	forest	Araneae	Linyphiidae	15
PeBPAr107-2	Cofre de Perote	forest	Araneae	Linyphiidae	15
PeBPAr102-2	Cofre de Perote	forest	Araneae	Linyphiidae	15
AjBPAr9-5	Ajusco	forest	Araneae	Linyphiidae	15
AjBPAr5-4	Ajusco	forest	Araneae	Linyphiidae	15
AjBPAr5-3	Ajusco	forest	Araneae	Linyphiidae	15
PeBPAr102-3	Cofre de Perote	forest	Araneae	Linyphiidae	15
PeBPAr104-3	Cofre de Perote	forest	Araneae	Linyphiidae	15
PeBPAr102-1	Cofre de Perote	forest	Araneae	Linyphiidae	16
BlBPAr150-1	Cerro Blanco	forest	Araneae	Linyphiidae	16
PeBPAr100-4	Cofre de Perote	forest	Araneae	Linyphiidae	17
PeBPAr100-8	Cofre de Perote	forest	Araneae	Linyphiidae	17
PeBPAr100-3	Cofre de Perote	forest	Araneae	Linyphiidae	17
PeBPAr108-1	Cofre de Perote	forest	Araneae	Linyphiidae	17
PeBPAr100-7	Cofre de Perote	forest	Araneae	Linyphiidae	17
PeBPAr100-2	Cofre de Perote	forest	Araneae	Linyphiidae	17
PeBPAr100-1	Cofre de Perote	forest	Araneae	Linyphiidae	17
AjZPAr26-1	Ajusco	grassland	Araneae	Linyphiidae	18
AjZPAr26-2	Ajusco	grassland	Araneae	Linyphiidae	18
MaZPAr80-1	Malinche	grassland	Araneae	Linyphiidae	18
MaZPAr80-2	Malinche	grassland	Araneae	Linyphiidae	18
ToZPAr46-2	Nevado de Toluca	grassland	Araneae	Linyphiidae	18
ToZPAr46-3	Nevado de Toluca	grassland	Araneae	Linyphiidae	18
ToZPAr46-7	Nevado de Toluca	grassland	Araneae	Linyphiidae	18
ToZPAr46-1	Nevado de Toluca	grassland	Araneae	Linyphiidae	18
ToZPAr46-9	Nevado de Toluca	grassland	Araneae	Linyphiidae	18
ToZPAr46-5	Nevado de Toluca	grassland	Araneae	Linyphiidae	18
ToZPAr46-6	Nevado de Toluca	grassland	Araneae	Linyphiidae	18
ToZPAr46-8	Nevado de Toluca	grassland	Araneae	Linyphiidae	18
ToZPAr46-4	Nevado de Toluca	grassland	Araneae	Linyphiidae	18
BlZPAr129-1	Cerro Blanco	grassland	Araneae	Linyphiidae	18
PeBPAr104-5	Cofre de Perote	forest	Araneae	Linyphiidae	19
MaBPAr71-1	Malinche	forest	Araneae	Linyphiidae	19
PeBPAr104-1	Cofre de Perote	forest	Araneae	Linyphiidae	19
PeBPAr104-4	Cofre de Perote	forest	Araneae	Linyphiidae	19
PeBPAr104-2	Cofre de Perote	forest	Araneae	Linyphiidae	19
ToBPAr30-2	Nevado de Toluca	forest	Araneae	Linyphiidae	20
ToBPAr30-1	Nevado de Toluca	forest	Araneae	Linyphiidae	20
ToBPAr29-1	Nevado de Toluca	forest	Araneae	Linyphiidae	20
ToBPAr29-2	Nevado de Toluca	forest	Araneae	Linyphiidae	20
AjBPAr12-1	Ajusco	forest	Araneae	Linyphiidae	20
BlBPAr146-5	Cerro Blanco	forest	Araneae	Linyphiidae	20
BlBPAr149-2	Cerro Blanco	forest	Araneae	Linyphiidae	20
IzBPAr133-4	Iztaccíhuatl	forest	Araneae	Linyphiidae	20
IzBPAr133-3	Iztaccíhuatl	forest	Araneae	Linyphiidae	20
BlBPAr146-3	Cerro Blanco	forest	Araneae	Linyphiidae	20
IzBPAr133-5	Iztaccíhuatl	forest	Araneae	Linyphiidae	20
ToZPAr47-2	Nevado de Toluca	grassland	Araneae	Linyphiidae	21
ToZPAr47-5	Nevado de Toluca	grassland	Araneae	Linyphiidae	21
IzZPAr65-1	Iztaccíhuatl	grassland	Araneae	Linyphiidae	21
AjBPAr10-1	Ajusco	forest	Araneae	Linyphiidae	22
AjBPAr4-7	Ajusco	forest	Araneae	Linyphiidae	22
AjBPAr1-5	Ajusco	forest	Araneae	Linyphiidae	23
AjBPAr1-12	Ajusco	forest	Araneae	Linyphiidae	23
AjBPAr4-9	Ajusco	forest	Araneae	Linyphiidae	24
AjBPAr4-12	Ajusco	forest	Araneae	Linyphiidae	24
AjBPAr4-2	Ajusco	forest	Araneae	Linyphiidae	24
AjBPAr4-11	Ajusco	forest	Araneae	Linyphiidae	24
AjBPAr4-8	Ajusco	forest	Araneae	Linyphiidae	25
AjBPAr9-4	Ajusco	forest	Araneae	Linyphiidae	25
PeBPAr110-1	Cofre de Perote	forest	Araneae	Linyphiidae	25
AjBPAr4-4	Ajusco	forest	Araneae	Linyphiidae	25
PeBPAr110-2	Cofre de Perote	forest	Araneae	Linyphiidae	25
AjBPAr4-10	Ajusco	forest	Araneae	Linyphiidae	25
AjBPAr7-5	Ajusco	forest	Araneae	Linyphiidae	26
AjBPAr7-3	Ajusco	forest	Araneae	Linyphiidae	26
AjBPAr7-4	Ajusco	forest	Araneae	Linyphiidae	26
AjBPAr7-7	Ajusco	forest	Araneae	Linyphiidae	26
AjBPAr7-2	Ajusco	forest	Araneae	Linyphiidae	26
IzBPAr132-2	Iztaccíhuatl	forest	Araneae	Linyphiidae	26
IzBPAr132-11	Iztaccíhuatl	forest	Araneae	Linyphiidae	26
IzBPAr132-8	Iztaccíhuatl	forest	Araneae	Linyphiidae	26
AnZPAr87-10	Cerro de San Andrés	grassland	Araneae	Linyphiidae	27
AnZPAr87-7	Cerro de San Andrés	grassland	Araneae	Linyphiidae	27
AnZPAr87-5	Cerro de San Andrés	grassland	Araneae	Linyphiidae	27
AnZPAr87-3	Cerro de San Andrés	grassland	Araneae	Linyphiidae	27
BlZPAr128-1	Cerro Blanco	grassland	Araneae	Linyphiidae	27
AjBPAr9-6	Ajusco	forest	Araneae	Linyphiidae	28
IzZPAr63-1	Iztaccíhuatl	grassland	Araneae	Linyphiidae	28
IzZPAr63-8	Iztaccíhuatl	grassland	Araneae	Linyphiidae	28
IzZPAr63-6	Iztaccíhuatl	grassland	Araneae	Linyphiidae	28
IzZPAr63-3	Iztaccíhuatl	grassland	Araneae	Linyphiidae	28
IzZPAr63-4	Iztaccíhuatl	grassland	Araneae	Linyphiidae	28
AjBPAr1-1	Ajusco	forest	Araneae	Linyphiidae	29
AjBPAr10-2	Ajusco	forest	Araneae	Linyphiidae	30
AjBPAr4-1	Ajusco	forest	Araneae	Linyphiidae	31
AjBPAr4-6	Ajusco	forest	Araneae	Linyphiidae	32
AjBPAr5-6	Ajusco	forest	Araneae	Linyphiidae	33
AnBPAr160-3	Cerro de San Andrés	forest	Araneae	Linyphiidae	34
BlBPAr149-1	Cerro Blanco	forest	Araneae	Linyphiidae	35
BlBPAr150-2	Cerro Blanco	forest	Araneae	Linyphiidae	36
PeBPAr100-5	Cofre de Perote	forest	Araneae	Linyphiidae	37
ToBPAr32-1	Nevado de Toluca	forest	Araneae	Linyphiidae	38
PeZPAr59-1	Cofre de Perote	grassland	Araneae	Gnaphosidae	39
PeZPAr59-2	Cofre de Perote	grassland	Araneae	Gnaphosidae	39
PeZPAr59-10	Cofre de Perote	grassland	Araneae	Gnaphosidae	39
ToZPAr37-2	Nevado de Toluca	grassland	Araneae	Gnaphosidae	40
ToZPAr37-5	Nevado de Toluca	grassland	Araneae	Gnaphosidae	40
ToZPAr36-1	Nevado de Toluca	grassland	Araneae	Gnaphosidae	40
BlZPAr123-4	Cerro Blanco	grassland	Araneae	Gnaphosidae	40
BlZPAr123-8	Cerro Blanco	grassland	Araneae	Gnaphosidae	40
IzZPAr60-2	Iztaccíhuatl	grassland	Araneae	Gnaphosidae	40
IzZPAr60-3	Iztaccíhuatl	grassland	Araneae	Gnaphosidae	40
AnZPAr85-3	Cerro de San Andrés	grassland	Araneae	Gnaphosidae	41
AnZPAr85-4	Cerro de San Andrés	grassland	Araneae	Gnaphosidae	41
AnBPAr161-3	Cerro de San Andrés	forest	Araneae	Gnaphosidae	42
AnBPAr161-2	Cerro de San Andrés	forest	Araneae	Gnaphosidae	42
AnBPAr162-2	Cerro de San Andrés	forest	Araneae	Gnaphosidae	42
ToZPAr37-3	Nevado de Toluca	grassland	Araneae	Gnaphosidae	43
ToZPAr37-4	Nevado de Toluca	grassland	Araneae	Gnaphosidae	43
ToBPAr35-2	Nevado de Toluca	forest	Araneae	Gnaphosidae	44
ToBPAr35-4	Nevado de Toluca	forest	Araneae	Gnaphosidae	44
AnBPAr157-1	Cerro de San Andrés	forest	Araneae	Gnaphosidae	45
AnBPAr157-4	Cerro de San Andrés	forest	Araneae	Gnaphosidae	45
AnBPAr157-5	Cerro de San Andrés	forest	Araneae	Gnaphosidae	45
